DATE,Open,High,Low,Close,Volume
03/21/2023,27768.39,28439.56,27439.65,28175.82,36102192830.48
03/22/2023,28158.72,28803.34,26760.,27307.44,33382021889.86
03/23/2023,27301.96,28729.84,27183.36,28333.97,24220433689.12
03/24/2023,28324.11,28388.44,27039.27,27493.29,25980310960.02
03/25/2023,27487.34,27791.83,27196.23,27494.71,13383005987.37
03/26/2023,27495.52,28178.14,27445.05,27994.33,13878363191.96
03/27/2023,27994.07,28037.93,26606.69,27139.89,18188895177.73
03/28/2023,27132.89,27460.72,26677.82,27268.13,17783600384.84
03/29/2023,27267.03,28619.54,27259.66,28348.44,20684945905.97
03/30/2023,28350.14,29159.9,27720.16,28033.56,22435349950.56
03/31/2023,28032.26,28639.9,27583.72,28478.48,19001327597.88
04/01/2023,28473.33,28802.46,28297.17,28462.94,11552706040.27
04/02/2023,28462.84,28518.96,27884.09,28199.31,12284641999.34
04/03/2023,28183.08,28475.62,27276.72,27790.22,19556501326.93
04/04/2023,27795.27,28433.74,27681.31,28168.09,15284538858.55
04/05/2023,28169.73,28739.24,27843.76,28177.98,17052315986.14
04/06/2023,28175.23,28178.38,27738.76,28044.14,13837809380.28
04/07/2023,28038.97,28111.59,27794.03,27925.86,10861680497.27
04/08/2023,27920.51,28159.86,27883.39,27947.79,9373255556.00
04/09/2023,27952.37,28532.83,27828.48,28333.05,12175322950.95
04/10/2023,28336.03,29771.46,28189.27,29652.98,19282400094.30
04/11/2023,29653.68,30509.08,29609.3,30235.06,20121259843.07
04/12/2023,30231.58,30462.48,29725.57,29892.99,19520080712.05
04/13/2023,29892.74,30539.85,29878.62,30399.07,17487721001.39
04/14/2023,30409.56,31005.61,30044.5,30485.7,22659995079.31
04/15/2023,30490.75,30601.74,30245.88,30318.5,11940685377.62
04/16/2023,30315.98,30555.54,30157.83,30315.36,12854816416.50
04/17/2023,30317.15,30319.2,29275.37,29445.04,17872186762.03
04/18/2023,29449.09,30470.3,29154.85,30397.55,19480529496.02
04/19/2023,30394.19,30411.05,28669.9,28822.68,24571565420.76
04/20/2023,28823.68,29076.4,28037.26,28245.99,21340360359.79
04/21/2023,28249.23,28349.97,27177.37,27276.91,20759504329.87
04/22/2023,27265.9,27872.14,27169.57,27817.5,13125734602.38
04/23/2023,27816.14,27820.24,27400.31,27591.38,12785446832.04
04/24/2023,27591.73,27979.98,27070.85,27525.34,17703288330.24
04/25/2023,27514.87,28371.08,27207.93,28307.6,17733373139.17
04/26/2023,28300.06,29995.84,27324.55,28422.7,31854242019.49
04/27/2023,28428.46,29871.55,28402.89,29473.79,27153445027.31
04/28/2023,29481.01,29572.79,28929.61,29340.26,17544464887.25
04/29/2023,29336.57,29452.46,29088.04,29248.49,10662634332.91
04/30/2023,29245.52,29952.03,29114.02,29268.81,14652199272.27
05/01/2023,29227.1,29329.94,27680.79,28091.57,18655599976.36
05/02/2023,28087.17,28881.3,27924.12,28680.54,16432924526.63
05/03/2023,28680.49,29259.53,28178.39,29006.31,19122972518.31
05/04/2023,29031.3,29353.18,28694.04,28847.71,15548678513.55
05/05/2023,28851.48,29668.91,28845.51,29534.38,17936566518.34
